logFC	padj
HELPU_006238	-1.44138537159525	0.00141548544683363
HELPU_012048	2.26983082093574	0.000248193323142184
HELPU_021382	-1.11465363791632	0.00727413654086245
HELPU_021249	9.82099187167912	0.049517065758479
HELPU_012862	1.24532899090334	0.0014266660172922
HELPU_020889	-1.87984095922174	0.033492639933127
HELPU_012899	4.38295205685912	0.00109509509492684
HELPU_008027	-3.90394936109322	6.32624353014257e-16
HELPU_008028	-1.37057772615838	0.0335280010871409
HELPU_005783	-1.1493991204742	0.032405187836254
HELPU_005784	1.86190288651255	0.000512685751946586
HELPU_003874	2.77363978473058	0.000605383428894421
HELPU_017686	4.81295434272381	0.00115625648847431
HELPU_008126	2.31344606870798	0.00868745599728764
HELPU_007245	1.93275688307468	0.0289266830088389
HELPU_009364	-1.48341832613968	0.0216521722833127
HELPU_007207	2.54816447392022	0.00179913172815358
HELPU_018298	-0.988025126887662	0.0102217314251334
HELPU_007090	-3.95994953838252	1.22345310393962e-05
HELPU_022153	2.10272982142943	0.00902406399824324
HELPU_002685	2.28145896103931	4.31301287674814e-05
HELPU_002693	2.47841666502768	0.00166942213302783
HELPU_021641	-2.00608101179707	0.0399825668520084
HELPU_012145	6.00462122270073	0.00119792528323362
HELPU_012146	7.09222131496517	1.2704145163985e-07
HELPU_012147	1.98963809443062	0.0422941447626239
HELPU_009345	2.25642321637364	0.0381771661526038
HELPU_009339	-2.02423796315476	0.00101673697299083
HELPU_000097	-1.77162371084204	0.0293352730375077
HELPU_019176	1.96706770667319	0.0353262374467267
HELPU_001950	0.820170018613883	0.034474276229919
HELPU_001954	2.76842917151047	0.00143866311091771
HELPU_016066	2.73552724563663	0.0177382235387178
HELPU_005464	1.67323719834144	0.00144505668274014
HELPU_011529	1.71502262380857	0.0404278450112456
HELPU_004249	2.33603869842741	0.00793768545122125
HELPU_013818	-5.70416337604804	5.67288549320571e-14
HELPU_007292	-2.71919016808714	0.00340418139601491
HELPU_007290	2.32654502385173	0.038999997372463
HELPU_014632	-0.870696206384621	0.0326071139724579
HELPU_009564	7.79242524279184	0.000734039229474265
HELPU_021321	2.88005903438371	0.0196039538997367
HELPU_011295	-1.631073568849	0.0331323060776329
HELPU_013761	1.00817578290809	0.00691295534628186
HELPU_001775	-1.1317296159469	0.016978853964339
HELPU_002306	4.8002539785348	0.000509237785764183
HELPU_002304	-2.13003970496667	0.000256398030916908
HELPU_002309	-2.74820096407785	0.0102774294642485
HELPU_014967	-3.94743711648469	5.51076742078305e-06
HELPU_008992	1.65879535871362	0.000927134918308021
HELPU_019547	-1.94694608123621	0.00318723481687016
HELPU_007599	1.78187596389634	0.000216509251240061
HELPU_010549	-1.07696600252843	0.00171058974865238
HELPU_004699	-1.18263133007195	0.0218323376774728
HELPU_008755	1.33759164798615	0.0165520767002247
