combination	observed	expected	p_value	p_label	significant
AvsM_1U|||AvsM_3U|||AvsA1|||MvsM1	0	0	1	1.000	FALSE
AvsM_1U|||AvsM_3U|||AvsA1|||MvsM3	1	0	0.0099009900990099	0.010	TRUE
AvsM_1U|||AvsM_3U|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1U|||AvsM_3U|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_1U|||AvsM_3U|||MvsM1|||MvsM3	72	0.15	0.0099009900990099	0.010	TRUE
AvsM_1U|||AvsA1|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1U|||AvsA1|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_1U|||AvsA1|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsM_1U|||AvsA3|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsM_3U|||AvsA1|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_3U|||AvsA1|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_3U|||AvsA1|||MvsM1|||MvsM3	16	0.01	0.0099009900990099	0.010	TRUE
AvsM_3U|||AvsA3|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsA1|||AvsA3|||MvsM1|||MvsM3	3	0	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsM_3U|||AvsA1	0	0.02	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsM_3U|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsM_3U|||MvsM1	0	0.01	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsM_3U|||MvsM3	9	0	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsA1|||MvsM1	0	0.01	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsA1|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||MvsM1|||MvsM3	0	0.01	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_3U|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_3U|||AvsA1|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_3U|||AvsA1|||MvsM3	0	0.01	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_3U|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_3U|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_3U|||MvsM1|||MvsM3	1	0.01	0.0198019801980198	0.020	TRUE
AvsM_1D|||AvsM_3D|||AvsA1|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsA1|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsA1|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsA3|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsM_3U|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsM_3U|||AvsA1|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsM_3U|||AvsA1|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsM_3U|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
