	Expression	Targeting
HELPU_015735	-1.44596013704336	-5.18380277593094
HELPU_015847	-3.49480560628781	-2.13414851732682
HELPU_015886	-5.34120376022186	-2.18749107827239
HELPU_016202	-5.29935750336192	-1.61817979514536
HELPU_016776	-2.15636421322129	-6.0631761058987
HELPU_016940	-3.39220080391433	-7.01588259160531
HELPU_017191	-7.6329416835211	-2.66741489213072
HELPU_017235	-1.38844284144964	-3.41377835375642
HELPU_017350	-5.09151141393355	-3.92980418267836
HELPU_017527	-3.34371834898101	-2.08889104465417
HELPU_017704	-3.40696732162036	-2.7080181295091
HELPU_017846	-1.57648587647185	-5.88973205605073
HELPU_018035	-2.38485676873224	-5.95643792970286
HELPU_018222	-0.641779918194754	-1.74889937512614
HELPU_018340	-2.3669319457186	-1.68954748903717
HELPU_018386	-10.0146478045145	-2.09709267277203
HELPU_018572	-2.95836926335676	-2.88315103020025
HELPU_018600	-4.38547842345002	-1.93504944440954
HELPU_019000	-1.03743181658673	-2.20442447815707
HELPU_019072	-3.92130825817901	-1.94014519492034
HELPU_019166	-10.3009355552681	-4.86159219300609
HELPU_019638	-3.7407574742616	-2.37213011388005
HELPU_019746	-4.08192960623915	-2.78199785222193
HELPU_019805	-1.89590305199912	-5.31481420678707
HELPU_019854	-2.1624455859098	-2.04876914946772
HELPU_019858	-4.25340942691666	-5.83158163282017
HELPU_020119	-9.76256142678928	-4.27339720411171
HELPU_020147	-1.40203220734951	-2.27697866007066
HELPU_020220	-3.20971030565556	-3.7559013130501
HELPU_020491	-8.05732799571548	-5.48842233799095
HELPU_020495	-4.23203428646312	-3.63057218350419
HELPU_020729	-1.1132648652803	-3.97297452063213
HELPU_021314	-5.63939761484879	-3.9262901842341
HELPU_021968	-2.15587951541468	-3.73638521664089
HELPU_022134	-10.0620225062264	-4.68831328213299
HELPU_001983	-2.10660299025151	2.53982275370166
HELPU_001984	-1.72585806368579	2.53982275370166
HELPU_002449	-3.21109371186925	3.74639987940559
HELPU_007293	-3.801147764365	1.51584121016426
HELPU_008465	-6.6489140150578	6.54978374817481
HELPU_008737	-5.26415931652311	3.86291733279058
HELPU_011369	-7.18512482883588	5.60686774114374
HELPU_011935	-1.79889084836886	1.82259500384033
HELPU_014211	-2.88984721953846	5.2964263302428
HELPU_014954	-0.798456205700604	2.14459478882465
HELPU_019124	-2.07362969534901	5.0495043072289
HELPU_019622	-2.91351546140772	1.96515186930757
HELPU_000179	-1.73941557749888	7.65317919123419
HELPU_000248	-3.61848394297345	7.33943569832541
HELPU_000274	-1.15702915290884	2.94480345157967
HELPU_000325	-0.641072772560638	6.47351223038685
HELPU_000532	-0.921545635646218	6.97397285963851
HELPU_000606	-3.30730407601743	5.57446039523793
HELPU_001229	-1.07015247387636	1.29327396694367
HELPU_001625	-4.7814125423211	1.72062206261436
HELPU_001697	-1.64911358862322	3.03547404015409
HELPU_001716	-3.13950894381989	3.02926692001022
HELPU_002109	-3.85791353522635	1.87768247444581
HELPU_002145	-1.09537435823298	3.5640551671446
HELPU_002803	-2.47444132551434	1.61660992126297
HELPU_002939	-3.66335987353352	3.33197354982952
HELPU_003121	-1.48372184034499	1.33872609996538
HELPU_003157	-1.30665694518093	1.11505229133329
HELPU_003373	-1.38156128382461	3.32219879493792
HELPU_003575	-1.50795096831903	1.67778498966726
HELPU_003954	-1.61420889853116	5.80039397188181
HELPU_004129	-1.16646405898483	1.57799992252009
HELPU_004311	-3.12089957564528	5.47082801249659
HELPU_004340	-0.952396454177402	1.54051520065661
HELPU_004356	-5.09861301659648	2.92929420622332
HELPU_004804	-6.21987431542625	3.10524571313233
HELPU_004809	-3.16276100132298	3.68225731529694
HELPU_004862	-3.58931083532968	2.54736478140192
HELPU_004900	-1.51098916747929	3.58335080833851
HELPU_004902	-2.28194892026572	4.76620836576782
HELPU_005451	-1.06983023219954	6.82921541455801
HELPU_005583	-0.862169643340046	2.16013234131204
HELPU_005674	-7.75488549846816	2.90979699364034
HELPU_005926	-2.99307245991237	2.19929687051582
HELPU_006002	-1.25799708684559	6.61055199744037
HELPU_006132	-1.58477359414863	6.76239898336112
HELPU_006208	-2.39468357569692	2.63953137460237
HELPU_006292	-1.30404898831941	1.5195770709395
HELPU_006351	-1.36658688790176	5.14795177075977
HELPU_006610	-1.09260881935158	1.39688232943549
HELPU_006619	-2.94153643167205	1.23940147021887
HELPU_007134	-9.24116801355056	1.5278801358271
HELPU_007285	-1.09382006202535	1.36309277858341
HELPU_007336	-4.14908216453381	1.48310397619911
HELPU_007398	-1.87086081551102	1.73493292939395
HELPU_007421	-3.5581708554367	4.30780106835232
HELPU_007489	-1.25373747672045	5.61452331262961
HELPU_007736	-2.82501266167125	2.78816014187698
HELPU_007897	-6.2134588902208	1.15810630647271
HELPU_008020	-3.28381739885834	2.87270284914399
HELPU_008223	-3.39559587938782	1.79422478765302
HELPU_008408	-1.88592948237929	1.85874129364607
HELPU_008446	-2.68612934251835	3.65385143360034
HELPU_008792	-6.24900897387303	3.34961932370574
HELPU_009167	-1.61825417426569	4.23382357559448
HELPU_009410	-1.1962681223118	6.57406653973954
HELPU_009727	-7.56889007915581	3.96648486867843
